iter	RMSE
243	184.8189969
244	184.7578791
245	184.6772791
246	184.6190365
247	184.5711223
248	184.4505464
249	184.3519114
250	184.3268449
251	184.2731619
252	184.1965059
253	184.1435986
254	184.1075991
255	184.0397517
256	183.9419488
257	183.8819484
258	183.8484904
259	183.7676276
260	183.7368547
261	183.5898058
262	183.550748
263	183.4597622
264	183.3948799
265	183.3170263
266	183.2421736
267	183.2112862
268	183.1673292
269	183.0818656
270	183.0277291
271	182.9708638
272	182.9187787
273	182.8609259
274	182.8179538
275	182.7599851
276	182.7339656
277	182.6673346
278	182.65673
279	182.600016
280	182.5147705
281	182.482782
282	182.4108706
283	182.3663509
284	182.3379942
285	182.2846799
286	182.2158955
287	182.1356916
288	182.0922676
289	182.0013887
290	181.9529717
291	181.9117204
292	181.8636407
293	181.776188
294	181.6636005
295	181.6016206
296	181.5751406
297	181.5281526
298	181.4673074
299	181.4208931
300	181.3635746
301	181.3065547
302	181.2647769
303	181.1833186
304	181.167419
305	181.1285487
306	181.0916094
307	181.0636877
308	180.9451148
309	180.9061705
310	180.8937636
311	180.8338587
312	180.7857989
313	180.7289921
314	180.6932072
315	180.6879779
316	180.6530777
317	180.5546039
318	180.522337
319	180.4802505
320	180.4432853
321	180.4104825
322	180.374934
323	180.3314825
324	180.2523946
325	180.2273537
326	180.2031034
327	180.1064749
328	180.0519206
329	180.0190955
330	179.9553004
331	179.882353
332	179.7929954
333	179.7262147
334	179.6757215
335	179.5919511
336	179.5715207
337	179.5379863
338	179.4739745
339	179.3370154
340	179.2927653
341	179.2561378
342	179.158429
343	179.1318593
344	179.0554396
345	179.0142271
346	178.988673
347	178.9081309
348	178.8479393
349	178.8061243
350	178.7540955
351	178.7127875
352	178.6545825
353	178.5810509
354	178.5471857
355	178.5131094
356	178.4498931
357	178.4312966
358	178.3855731
359	178.3568717
360	178.3357108
361	178.2292946
362	178.1899186
363	178.1355831
364	178.0566083
365	178.0379637
366	178.0080087
367	177.9965649
368	177.9172196
369	177.8846156
370	177.8142714
371	177.7647129
372	177.729377
373	177.690166
374	177.6536074
375	177.6098562
376	177.5747253
377	177.5302892
378	177.4477036
379	177.3882856
380	177.3484515
381	177.3198478
382	177.2290312
383	177.1265134
384	177.0823779
385	177.010982
386	176.9617834
387	176.9246287
388	176.8853841
389	176.8432965
390	176.7929479
391	176.7453861
392	176.6846941
393	176.6631332
394	176.6322715
395	176.5672445
396	176.5473121
397	176.4697793
398	176.4042575
399	176.3707768
400	176.3467147
401	176.3361986
402	176.3206684
403	176.2865791
404	176.2652204
405	176.2199676
406	176.1594548
407	176.0858134
408	176.0269355
409	175.9927858
410	175.8842846
411	175.8236841
412	175.7977463
413	175.7678828
414	175.7358187
415	175.6909411
416	175.6399512
417	175.5790592
418	175.5331091
419	175.4999862
420	175.4397091
421	175.3851882
422	175.3398429
423	175.2603653
424	175.2186677
425	175.1769667
426	175.1492445
427	175.0520066
428	175.027966
429	174.9757004
430	174.91071
431	174.8528866
432	174.7936914
433	174.7177788
434	174.6424343
435	174.6016832
436	174.5561778
437	174.5175289
438	174.4495307
439	174.4115305
440	174.3397582
441	174.3093453
442	174.227258
443	174.1929912
444	174.12426
445	174.0873359
446	174.0590805
447	174.0051067
448	173.9267969
449	173.8755389
450	173.8041569
451	173.7755424
452	173.7076433
453	173.6561542
454	173.6336666
455	173.5728071
456	173.5090634
457	173.4563145
458	173.4069848
459	173.3791664
460	173.3125383
461	173.2677997
462	173.2490121
463	173.197569
464	173.1449124
465	173.0990069
466	173.057297
467	173.0015718
468	172.9696787
469	172.8888993
470	172.8520892
471	172.7772335
472	172.7375795
473	172.6999971
474	172.6760879
475	172.6331444
476	172.5970167
477	172.5541549
478	172.503571
479	172.4686023
480	172.4307884
481	172.4113272
482	172.3759219
483	172.3449778
484	172.3212807
485	172.2781103
486	172.211797
487	172.1875597
488	172.1616239
489	172.1461385
490	172.1042383
491	172.0621459
492	172.0263365
493	171.9807242
494	171.9565647
495	171.916816
496	171.876501
497	171.839246
498	171.7902315
499	171.7645134
500	171.7214852
501	171.6532711
502	171.6083423
503	171.5756132
504	171.5450312
505	171.5438991
506	171.5078385
507	171.4844693
508	171.470245
509	171.4110559
510	171.3988028
511	171.3650601
512	171.3453994
513	171.3141371
514	171.2672884
515	171.1977725
516	171.1926331
517	171.171514
518	171.1259292
519	171.0895586
520	171.0418192
521	170.9919765
522	170.9601491
523	170.9262288
524	170.8669953
525	170.8126717
526	170.7681337
527	170.7386768
528	170.7117436
529	170.6681303
530	170.6380516
531	170.5674862
532	170.5259336
533	170.4975034
534	170.4532829
535	170.4005454
536	170.3685719
537	170.3421321
538	170.2987047
539	170.2983041
540	170.2521771
541	170.2033848
542	170.1606972
543	170.1244214
544	170.0702889
545	170.0413291
546	170.0268726
547	169.9624381
548	169.920245
549	169.8830448
550	169.8525841
551	169.7839665
552	169.7194932
553	169.6351985
554	169.6346916
555	169.5682645
556	169.512872
557	169.4686806
558	169.4177118
559	169.3972981
560	169.3610318
561	169.3322609
562	169.3210435
563	169.2713059
564	169.2411377
565	169.2103133
566	169.2095539
567	169.1725642
568	169.1720693
569	169.1345172
570	169.1154186
571	169.0928751
572	169.0489239
573	169.0204027
574	168.9839843
575	168.9441562
576	168.9171863
577	168.9018222
578	168.8793116
579	168.8644455
580	168.8543156
581	168.8061287
582	168.7494384
583	168.7163846
584	168.6781111
585	168.6355959
586	168.5800014
587	168.5105219
588	168.5027845
589	168.4669183
590	168.4212704
591	168.4208035
592	168.3820851
593	168.3330095
594	168.3079104
595	168.2734209
596	168.2263831
597	168.1702233
598	168.1191135
599	168.0800267
600	168.0172371
601	167.9842507
602	167.9468036
603	167.8733497
604	167.8103677
605	167.7636593
606	167.7419714
607	167.7074946
608	167.6559349
609	167.612376
610	167.5804716
611	167.5414548
612	167.505913
613	167.4772152
614	167.4530395
615	167.4230824
616	167.3947631
617	167.3643012
618	167.3413087
619	167.2827129
620	167.2505863
621	167.2393368
622	167.2072552
623	167.2068333
624	167.1532147
625	167.1076905
626	167.043848
627	167.0177656
628	167.0000516
629	166.9658969
630	166.9312327
631	166.8984548
632	166.8601863
633	166.8598246
634	166.8510709
635	166.8009517
636	166.7546908
637	166.7260045
638	166.7256548
639	166.6723026
640	166.6358713
641	166.5968172
642	166.5678094
643	166.5340116
644	166.4866181
645	166.4669529
646	166.4319322
647	166.3984836
648	166.3690612
649	166.3436373
650	166.3101283
651	166.3097997
652	166.2705907
653	166.232431
654	166.2091739
655	166.1707186
656	166.1472269
657	166.0885589
658	166.0576882
659	166.0341346
660	165.9972698
661	165.9453255
662	165.9044846
663	165.837896
664	165.8125775
665	165.779793
666	165.7467967
667	165.7316275
668	165.7103206
669	165.6790192
670	165.6416265
671	165.6047849
672	165.56829
673	165.5260418
674	165.4885315
675	165.4482771
676	165.4124281
677	165.3826556
678	165.3554215
679	165.3296182
680	165.3077678
681	165.2666477
682	165.2335776
683	165.2015462
684	165.171668
685	165.1457593
686	165.1209348
687	165.0845152
688	165.0585103
689	165.0364286
690	164.999117
691	164.9712375
692	164.9415762
693	164.908543
694	164.8922156
695	164.8656773
696	164.8351485
697	164.7929156
698	164.7529249
699	164.7055391
700	164.6788134
701	164.6480894
702	164.594355
703	164.5759386
704	164.537373
705	164.4995622
706	164.4581581
707	164.4153788
708	164.3897384
709	164.3594981
710	164.3315034
711	164.2980654
712	164.2691969
713	164.2565712
714	164.2377704
715	164.206025
716	164.1906855
717	164.1471397
718	164.1047817
719	164.055969
720	164.0341154
721	164.0058307
722	163.9648999
723	163.9311864
724	163.8957054
725	163.8785073
726	163.8523113
727	163.8480328
728	163.8124367
729	163.7822485
730	163.7538756
731	163.7196902
732	163.6934544
733	163.655891
734	163.6254312
735	163.5810946
736	163.5747254
737	163.5072307
738	163.4718405
739	163.4456842
740	163.4075825
741	163.3634278
742	163.3277111
743	163.2909989
744	163.2567339
745	163.2151911
746	163.1928741
747	163.1672712
748	163.1450861
749	163.1172105
750	163.106345
751	163.0742121
752	163.0576558
753	163.0226994
754	162.9988103
755	162.9586763
756	162.9312043
757	162.895346
758	162.883808
759	162.8663111
760	162.8346037
761	162.7979343
762	162.7704195
763	162.7304297
764	162.7060173
765	162.6694811
766	162.6391286
767	162.6216854
768	162.5939411
769	162.559112
770	162.5349815
771	162.5054998
772	162.4702273
773	162.4402384
774	162.4147733
775	162.3909671
776	162.3740886
777	162.3619319
778	162.3393419
779	162.2821896
780	162.2502521
781	162.231697
782	162.2046622
783	162.1894253
784	162.1291591
785	162.1000246
786	162.0713879
787	162.0093437
788	161.9830547
789	161.9425025
790	161.9151169
791	161.8932241
792	161.8565714
793	161.8261171
794	161.7880565
795	161.7522658
796	161.7126515
797	161.6833038
798	161.6611425
799	161.6386967
800	161.5982565
801	161.5597942
802	161.5161401
803	161.4979049
804	161.4580009
805	161.4178203
806	161.3820137
807	161.3392225
808	161.2975882
809	161.2632524
810	161.2272755
811	161.169845
812	161.1456673
813	161.1065346
814	161.081394
815	161.0550435
816	161.0286196
817	160.9963008
818	160.9710468
819	160.946658
820	160.9109021
821	160.8875171
822	160.8444452
823	160.8092638
824	160.7684987
825	160.7462322
826	160.7171698
827	160.6881207
828	160.646576
829	160.5969507
830	160.5203342
831	160.4798144
832	160.4546252
833	160.4229173
834	160.3920246
835	160.369183
836	160.3067446
837	160.2762471
838	160.2386669
839	160.2016578
840	160.183068
841	160.1520886
842	160.1271374
843	160.0863671
844	160.0480396
845	160.0214854
846	159.9903928
847	159.9553821
848	159.9204817
849	159.8977672
850	159.8782882
851	159.8496022
852	159.7887605
853	159.7452317
854	159.7197644
855	159.645075
856	159.6084754
857	159.5841484
858	159.5453028
859	159.524484
860	159.4830361
861	159.4546853
862	159.440702
863	159.389047
864	159.3618272
865	159.336869
866	159.2873988
867	159.2708947
868	159.2400018
869	159.1960131
870	159.170647
871	159.1282864
872	159.1020847
873	159.0790455
874	159.0569046
875	159.0299854
876	159.0006886
877	158.9724582
878	158.9251089
879	158.8932042
880	158.8675304
881	158.8456483
882	158.8246509
883	158.7813657
884	158.7405994
885	158.7150999
886	158.661568
887	158.6230033
888	158.5714143
889	158.5521284
890	158.5280299
891	158.4884667
892	158.4668379
893	158.444885
894	158.399368
895	158.3699744
896	158.3467315
897	158.3306521
898	158.2866568
899	158.2302153
900	158.2085921
901	158.1837003
902	158.150334
903	158.1410457
904	158.1236764
905	158.0984075
906	158.0512763
907	158.0045412
908	157.9682354
909	157.9411303
910	157.9090132
911	157.8682828
912	157.8245082
913	157.7990912
914	157.7333854
915	157.7004919
916	157.6702375
917	157.6567694
918	157.6295611
919	157.6016623
920	157.585235
921	157.5533001
922	157.526714
923	157.5042848
924	157.4695388
925	157.4523446
926	157.429858
927	157.3867881
928	157.3664094
929	157.3466072
930	157.3213505
931	157.2761274
932	157.2489649
933	157.193164
934	157.1634821
935	157.1291461
936	157.1123484
937	157.0814601
938	157.0496248
939	157.0277879
940	157.0021996
941	156.9710129
942	156.9419711
943	156.9129362
944	156.8829418
945	156.8590527
946	156.8225733
947	156.8026551
948	156.7753561
949	156.7496286
950	156.7214932
951	156.6896711
952	156.6698812
953	156.6313623
954	156.6046904
955	156.5798297
956	156.5523907
957	156.530598
958	156.4944291
959	156.4723934
960	156.4420196
961	156.4088728
962	156.3773683
963	156.3545818
964	156.3086214
965	156.2928855
966	156.2722832
967	156.2407607
968	156.1897877
969	156.1782415
970	156.1582807
971	156.1355276
972	156.1035916
973	156.0856465
974	156.0626218
975	156.0408154
976	156.0189813
977	155.9920557
978	155.9606015
979	155.9299284
980	155.8914239
981	155.8710646
982	155.8345848
983	155.8149352
984	155.7878796
985	155.7603967
986	155.7257188
987	155.7005034
988	155.6705213
989	155.658473
990	155.6360663
991	155.6016788
992	155.5840764
993	155.5560321
994	155.5200481
995	155.4691242
996	155.4437142
997	155.4121819
998	155.3760597
999	155.359676
